dimension,pairs,replicates,alpha,raw_relative_rmse_mean,raw_relative_rmse_std,raw_sign_accuracy_mean,raw_clip_fraction_mean,rank_split_correlation_mean,rank_split_sign_agreement_mean,raw_step_relative_error_mean,exact_solve_relative_residual_max,estimated_projected_solve_relative_residual_max,estimated_signed_nonpositive_fraction_mean,estimated_signed_condition_median,estimated_signed_solve_relative_residual_max
5,80,10,30.0,0.5813895121372891,0.15753382124312143,0.86,0.0,0.8854507787612137,0.96,1.4809017017284742,0.0,5.921189464667503e-17,0.1,18.03148401168692,8.373826446313468e-17
100,80,10,30.0,6.869608797645422,0.509107327162203,0.49000000000000005,0.0,0.1672408852952884,0.6169999999999999,3.659917370674962,4.186913223156734e-17,4.186913223156734e-17,0.5029999999999999,337.2603181329622,6.10342239802965e-17
1000,80,10,30.0,62.81784079181067,1.105503904351178,0.48339999999999994,0.0,0.030654235445776022,0.5192000000000001,3.721854641797124,6.181460191301307e-17,4.3316091124029824e-17,0.5157999999999999,7664.582207401523,6.159264571367893e-17
5123,80,10,30.0,323.54547964227635,2.478618859361416,0.48247120827640055,0.04325590474331446,0.0057724521365678325,0.505133710716377,3.7363207675904997,5.350102692277512e-17,3.719201103062479e-17,0.5174507124731603,72098.54862232812,5.485969856305364e-17
